cid,state
700310,Maharashtra
700307,Maharashtra
700313,Maharashtra
700305,Maharashtra
700540,Maharashtra
700301,Maharashtra
700303,Maharashtra
700304,Maharashtra
700523,Maharashtra
700306,Maharashtra
700466,Maharashtra
701701,Maharashtra
700302,Maharashtra
700309,Maharashtra
700312,Maharashtra
700314,Maharashtra
700322,Maharashtra
701496,Maharashtra
700532,Maharashtra
700315,Maharashtra
701704,Maharashtra
701717,Maharashtra
700328,Maharashtra
700321,Maharashtra
700119,Delhi
700357,Delhi
700122,Delhi
700123,Delhi
700118,Delhi
700479,Delhi
700360,Delhi
700495,Delhi
701404,Delhi
700117,Delhi
700363,Gujarat
700365,Gujarat
700364,Gujarat
700367,Gujarat
700368,Gujarat
700369,Gujarat
700391,Karnataka
700399,Karnataka
700394,Karnataka
700396,Karnataka
700414,Karnataka
700413,Karnataka
700401,Karnataka
700405,Karnataka
700416,Karnataka
700403,Karnataka
700468,Punjab
700339,Punjab
700341,Punjab
700342,Punjab
700296,Madhya Pradesh
700300,Madhya Pradesh
700298,Madhya Pradesh
700297,Madhya Pradesh
700299,Madhya Pradesh
700520,Madhya Pradesh
